Date,Total_Accidents
08-12-2008,493
08-12-2010,435
08-12-2011,356
08-12-2012,337
08-12-2014,384
08-12-2015,381
09-12-2006,487
09-12-2008,577
09-12-2010,373
09-12-2012,503
09-12-2014,453
09-12-2015,400
10-12-2005,746
10-12-2006,558
10-12-2008,419
10-12-2010,510
10-12-2012,540
10-12-2014,294
11-12-2005,547
11-12-2007,516
11-12-2009,659
11-12-2010,585
11-12-2012,472
11-12-2013,478
11-12-2014,538
12-12-2005,732
12-12-2007,655
12-12-2009,465
12-12-2011,637
12-12-2013,462
12-12-2014,498
13-01-2005,657
13-01-2007,405
13-01-2008,283
13-01-2009,534
13-01-2010,398
13-01-2012,499
13-01-2013,235
13-01-2014,510
13-02-2005,386
13-02-2007,451
13-02-2009,451
13-02-2011,314
13-02-2013,437
13-03-2005,351
13-03-2009,456
13-03-2010,398
13-03-2012,384
13-03-2013,364
13-03-2014,415
13-04-2005,564
13-04-2007,424
13-04-2009,323
13-04-2011,343
13-04-2013,341
13-04-2014,345
13-05-2005,625
13-05-2007,409
13-05-2009,438
13-05-2011,468
13-05-2013,389
13-05-2015,476
13-06-2005,532
13-06-2006,535
13-06-2007,615
13-06-2008,491
13-06-2009,439
13-06-2011,418
13-06-2012,415
13-06-2013,378
13-06-2015,378
13-07-2006,553
13-07-2008,364
13-07-2009,509
13-07-2010,488
13-07-2011,420
13-07-2012,440
13-07-2013,433
13-07-2015,483
13-08-2006,445
13-08-2008,424
13-08-2010,523
13-08-2012,288
13-08-2014,441
13-09-2005,548
13-09-2007,488
13-09-2008,455
13-09-2010,422
13-09-2012,454
13-09-2014,336
13-10-2005,600
13-10-2007,403
13-10-2009,467
13-10-2012,376
13-10-2014,468
13-11-2005,436
13-11-2007,650
13-11-2009,692
13-11-2011,300
13-11-2013,495
13-11-2015,513
13-12-2005,638
13-12-2007,643
13-12-2009,366
13-12-2011,439
13-12-2013,507
13-12-2015,285
14-01-2005,715
14-01-2007,364
14-01-2009,603
14-01-2011,417
14-01-2012,372
14-01-2013,420
14-01-2014,567
14-02-2005,437
14-02-2007,473
14-02-2009,383
14-02-2011,486
14-02-2013,391
14-02-2015,317
14-03-2005,471
14-03-2007,478
14-03-2009,382
14-03-2011,431
14-03-2013,431
14-03-2014,417
14-04-2005,570
14-04-2007,467
14-04-2008,420
14-04-2009,348
14-04-2011,384
14-04-2013,278
14-04-2015,420
14-05-2005,585
14-05-2007,493
14-05-2008,516
14-05-2009,394
14-05-2011,355
14-05-2012,409
14-05-2013,407
14-05-2015,437
14-06-2006,493
14-06-2008,429
14-06-2010,417
14-06-2012,383
14-06-2013,477
14-06-2015,288
14-07-2006,685
14-07-2008,406
14-07-2010,493
14-07-2012,353
14-07-2013,349
14-07-2014,364
14-07-2015,365
14-08-2006,488
14-08-2008,481
14-08-2010,402
14-08-2012,393
14-08-2014,428
14-09-2005,511
14-09-2007,558
14-09-2009,429
14-09-2011,462
14-09-2012,461
14-09-2013,346
14-09-2014,259
14-10-2005,526
14-10-2007,362
14-10-2009,461
14-10-2011,522
14-10-2013,490
14-11-2005,614
14-11-2006,608
14-11-2007,573
14-11-2009,439
14-11-2011,383
14-11-2013,439
14-11-2015,375
14-12-2006,507
14-12-2007,563
14-12-2008,311
14-12-2009,548
14-12-2011,543
14-12-2013,377
14-12-2015,434
15-01-2005,461
15-01-2007,485
15-01-2009,431
15-01-2011,281
15-01-2013,410
15-01-2015,396
15-02-2006,453
15-02-2007,415
15-02-2011,435
15-02-2013,438
15-02-2015,252
15-03-2005,504
15-03-2007,488
15-03-2009,319
15-03-2011,359
15-03-2013,446
15-03-2015,252
15-04-2006,373
15-04-2007,434
15-04-2008,505
15-04-2009,381
15-04-2011,400
15-04-2012,292
15-04-2013,307
15-04-2015,401
15-05-2006,600
15-05-2008,477
15-05-2009,565
15-05-2011,281
15-05-2012,419
15-05-2013,387
15-05-2015,441
15-06-2006,572
15-06-2008,360
15-06-2010,493
15-06-2012,467
15-06-2014,307
15-07-2006,527
15-07-2008,471
15-07-2010,469
15-07-2012,353
15-07-2014,377
15-08-2005,432
15-08-2007,506
15-08-2009,426
15-08-2011,374
15-08-2012,412
15-08-2014,406
15-09-2005,743
15-09-2007,483
15-09-2009,487
15-09-2011,474
15-09-2013,319
15-09-2015,445
15-10-2005,531
15-10-2007,464
15-10-2009,509
15-10-2011,464
15-10-2013,462
15-10-2015,398
15-11-2006,609
15-11-2007,647
15-11-2008,434
15-11-2010,622
15-11-2011,442
15-11-2012,418
15-11-2013,487
15-11-2015,264
15-12-2006,711
15-12-2007,438
15-12-2008,522
15-12-2010,465
15-12-2011,529
15-12-2012,359
15-12-2013,316
15-12-2015,495
16-01-2006,518
16-01-2007,578
16-01-2009,479
16-01-2011,263
16-01-2013,363
16-01-2015,491
16-02-2006,511
16-02-2008,501
16-02-2010,422
16-02-2011,488
16-02-2012,384
16-02-2014,333
16-02-2015,344
16-03-2006,444
16-03-2007,545
16-03-2008,327
16-03-2009,427
16-03-2011,398
16-03-2013,321
16-03-2015,329
16-04-2006,333
16-04-2008,422
16-04-2010,449
16-04-2011,372
16-04-2012,355
16-04-2013,399
16-04-2015,389
16-05-2006,544
16-05-2008,484
16-05-2010,324
16-05-2012,419
16-05-2013,410
16-05-2014,453
16-05-2015,378
16-06-2006,613
16-06-2008,471
16-06-2010,506
16-06-2012,386
16-06-2014,388
16-07-2005,582
16-07-2007,492
16-07-2008,453
16-07-2010,485
16-07-2012,401
16-07-2014,428
16-08-2005,496
16-08-2007,469
16-08-2009,379
16-08-2011,387
16-08-2013,491
16-08-2015,292
16-09-2005,692
16-09-2006,444
16-09-2007,425
16-09-2009,494
16-09-2011,482
16-09-2013,409
16-09-2015,437
16-10-2006,461
16-10-2007,615
16-10-2008,525
16-10-2009,554
16-10-2010,441
16-10-2011,301
16-10-2013,490
16-10-2015,391
16-11-2006,578
16-11-2008,344
16-11-2010,569
16-11-2011,396
16-11-2012,436
16-11-2014,277
16-11-2015,380
16-12-2006,639
16-12-2008,446
16-12-2010,472
16-12-2011,560
16-12-2012,321
16-12-2014,543
16-12-2015,458
17-01-2006,529
17-01-2007,529
17-01-2008,506
17-01-2010,315
17-01-2011,430
17-01-2015,369
17-02-2006,554
17-02-2008,374
17-02-2010,461
17-02-2012,428
17-02-2014,345
17-03-2006,463
17-03-2007,484
17-03-2008,396
17-03-2010,388
17-03-2011,389
17-03-2012,384
17-03-2013,236
17-03-2015,358
17-04-2006,358
17-04-2008,457
17-04-2010,435
17-04-2012,411
17-04-2014,344
17-05-2006,561
17-05-2008,447
17-05-2010,424
17-05-2012,421
17-05-2014,419
17-06-2005,621
17-06-2007,405
17-06-2009,522
17-06-2010,477
17-06-2011,518
17-06-2012,296
17-06-2014,421
17-07-2005,488
17-07-2007,530
17-07-2009,617
17-07-2011,354
17-07-2012,398
17-07-2014,489
17-08-2005,601
17-08-2007,477
17-08-2009,398
17-08-2011,375
17-08-2013,355
17-08-2015,330
17-09-2006,453
17-09-2007,493
17-09-2008,440
17-09-2010,522
17-09-2011,481
17-09-2013,434
17-09-2015,444
17-10-2006,525
17-10-2007,609
17-10-2008,532
17-10-2010,355
17-10-2011,439
17-10-2012,538
17-10-2013,492
17-10-2014,520
17-10-2015,300
17-11-2006,733
17-11-2008,558
17-11-2010,479
17-11-2012,350
17-11-2014,429
17-11-2015,423
17-12-2005,493
17-12-2006,502
17-12-2008,612
17-12-2010,562
17-12-2012,456
17-12-2014,445
18-01-2006,561
18-01-2008,603
18-01-2010,415
18-01-2012,420
18-01-2014,298
18-01-2015,278
18-02-2005,638
18-02-2006,425
18-02-2008,566
18-02-2009,394
18-02-2010,396
18-02-2012,308
18-02-2014,363
18-03-2006,385
18-03-2008,423
18-03-2010,428
18-03-2012,305
18-03-2014,388
18-03-2015,349
18-04-2005,597
18-04-2006,439
18-04-2008,407
18-04-2010,340
18-04-2012,445
18-04-2014,349
18-05-2005,520
18-05-2006,503
18-05-2007,538
18-05-2008,343
18-05-2010,467
18-05-2012,379
18-05-2014,375
18-06-2005,576
18-06-2007,515
18-06-2009,425
18-06-2011,449
18-06-2013,370
18-06-2015,405
18-07-2005,535
18-07-2007,561
18-07-2009,437
18-07-2011,424
18-07-2013,509
18-07-2015,372
18-08-2006,638
18-08-2007,560
18-08-2008,429
18-08-2009,454
18-08-2010,414
18-08-2011,411
18-08-2013,300
18-08-2015,365
18-09-2006,528
18-09-2008,506
18-09-2010,445
18-09-2011,403
18-09-2012,477
18-09-2014,420
18-09-2015,425
18-10-2006,571
18-10-2008,414
18-10-2010,437
18-10-2011,516
18-10-2012,437
18-10-2014,326
18-10-2015,268
18-11-2005,787
18-11-2006,584
18-11-2009,482
18-11-2010,570
18-11-2012,352
18-11-2014,497
18-12-2005,412
18-12-2006,608
18-12-2009,509
18-12-2010,296
18-12-2012,461
18-12-2014,448
19-01-2005,657
19-01-2006,488
19-01-2008,446
19-01-2010,377
19-01-2012,443
19-01-2014,244
19-02-2005,449
19-02-2006,377
19-02-2007,438
19-02-2008,491
19-02-2009,394
19-02-2010,452
19-02-2012,271
19-02-2013,448
19-02-2014,352
19-03-2005,494
19-03-2006,334
19-03-2008,431
19-03-2010,480
19-03-2012,419
19-03-2014,358
19-04-2005,532
19-04-2006,474
19-04-2007,598
19-04-2009,353
19-04-2010,369
19-04-2012,415
19-04-2014,362
19-05-2005,608
19-05-2007,448
19-05-2009,507
19-05-2010,388
19-05-2011,462
19-05-2012,324
19-05-2014,423
19-06-2005,483
19-06-2007,513
19-06-2009,539
19-06-2011,347
19-06-2013,412
19-06-2015,421
19-07-2005,535
19-07-2006,612
19-07-2007,522
19-07-2009,337
19-07-2011,424
19-07-2013,536
19-07-2015,323
19-08-2006,542
19-08-2007,442
19-08-2008,459
19-08-2010,475
19-08-2011,481
19-08-2012,344
19-08-2013,376
19-08-2014,401
19-08-2015,415
19-09-2006,609
19-09-2008,540
19-09-2010,346
19-09-2012,491
19-09-2014,464
19-09-2015,389
19-10-2005,721
19-10-2006,659
19-10-2008,301
19-10-2010,551
19-10-2012,488
19-10-2014,333
19-11-2005,589
19-11-2007,664
19-11-2009,437
19-11-2010,625
19-11-2013,519
19-11-2014,452
19-12-2005,744
19-12-2007,610
19-12-2009,391
19-12-2010,231
19-12-2013,490
19-12-2014,493
20-01-2005,564
20-01-2006,587
20-01-2008,305
20-01-2009,514
20-01-2010,378
20-01-2012,487
20-01-2013,180
20-01-2014,493
20-02-2005,365
20-02-2007,395
20-02-2009,411
20-02-2010,448
20-02-2011,233
20-02-2013,294
20-02-2014,370
20-02-2015,373
20-03-2005,377
20-03-2006,362
20-03-2009,526
20-03-2010,395
20-03-2012,418
